Tweet,Match,word polarity
1,proud,positive
1,winner,positive
2,excited,positive
6,available,positive
8,important,positive
9,thankful,positive
10,important,positive
11,supporting,positive
12,important,positive
13,redeem,positive
14,important,positive
15,led,positive
17,fall,negative
18,enjoy,positive
19,fall,negative
20,afford,positive
20,loose,negative
21,right,positive
21,like,positive
21,issues,negative
22,kindly,positive
23,afford,positive
23,loose,negative
24,safe,positive
25,victory,positive
26,like,positive
27,refund,positive
30,excellent,positive
31,work,positive
32,excited,positive
35,fortune,positive
35,enhance,positive
36,supporting,positive
37,right,positive
38,free,positive
40,like,positive
44,important,positive
46,crisis,negative
47,excellent,positive
47,strange,negative
48,top,positive
49,grateful,positive
50,competitive,positive
52,like,positive
52,fascist,negative
55,top,positive
56,powerful,positive
60,honored,positive
60,excited,positive
60,commitment,positive
60,thank,positive
61,best,positive
62,excited,positive
63,important,positive
65,important,positive
67,worth,positive
68,proper,positive
68,sorry,negative
70,good,positive
71,love,positive
71,amazing,positive
71,proud,positive
72,ready,positive
73,sorry,negative
74,thrilled,positive
76,debt,negative
78,risk,negative
78,crisis,negative
79,better,positive
79,idiots,negative
80,fantastic,positive
80,free,positive
82,good,positive
83,positives,positive
83,welcome,positive
83,virus,negative
83,destruction,negative
87,excited,positive
88,sorry,negative
88,selfish,negative
92,meaningful,positive
92,work,positive
95,exceed,positive
96,properly,positive
97,refund,positive
97,noise,negative
97,concern,negative
99,encouraging,positive
99,protect,positive
101,smart,positive
102,super,positive
102,talent,positive
103,work,positive
105,exceed,positive
107,affordable,positive
109,cheapest,positive
110,excited,positive
112,like,positive
115,boycott,negative
117,radical,negative
118,effective,positive
120,nice,positive
124,love,positive
124,bankrupt,negative
126,emergency,negative
128,scared,negative
128,lack,negative
129,good,positive
129,patient,positive
131,support,positive
131,free,positive
132,prestigious,positive
133,important,positive
134,excited,positive
134,commitment,positive
135,good,positive
137,cocky,negative
137,ignorance,negative
137,miserable,negative
140,expel,negative
141,like,positive
141,commitment,positive
141,thank,positive
142,excited,positive
143,great,positive
143,win,positive
143,better,positive
143,better,positive
143,master,positive
144,powerful,positive
148,redeem,positive
149,success,positive
149,free,positive
149,plea,negative
151,recommend,positive
151,providence,positive
152,recommend,positive
153,exceed,positive
154,expensive,negative
154,expensive,negative
156,trump,positive
157,irregular,negative
159,irregular,negative
160,better,positive
163,important,positive
164,racist,negative
164,discrimination,negative
165,desperate,negative
165,dead,negative
168,scarcity,negative
168,scarcity,negative
169,superior,positive
170,vice,negative
171,ready,positive
173,exceed,positive
174,exceed,positive
176,better,positive
178,work,positive
179,like,positive
179,like,positive
184,admirable,positive
184,clearly,positive
185,challenging,negative
187,led,positive
188,easy,positive
189,congratulations,positive
189,awarded,positive
189,criminal,negative
190,superior,positive
191,great,positive
191,great,positive
191,ready,positive
192,ignorance,negative
194,proper,positive
196,good,positive
198,ready,positive
202,excitingly,positive
202,enjoy,positive
204,love,positive
205,excited,positive
205,commitment,positive
212,great,positive
212,work,positive
215,hell,negative
216,great,positive
218,luxury,positive
219,refund,positive
220,exquisite,positive
220,talents,positive
220,innovative,positive
220,lack,negative
222,lost,negative
223,welcome,positive
224,unfavorable,negative
227,wise,positive
227,vice,negative
228,like,positive
228,fall,negative
229,like,positive
230,available,positive
231,fortunate,positive
231,indoctrination,negative
233,great,positive
233,celebrate,positive
234,work,positive
234,support,positive
234,hard,negative
235,amazing,positive
235,support,positive
236,selfishness,negative
237,wise,positive
237,vice,negative
238,welcome,positive
240,issue,negative
240,critical,negative
241,fortune,positive
241,enhance,positive
242,suitable,positive
242,willing,positive
242,work,positive
242,shortage,negative
243,fortune,positive
243,enhance,positive
244,challenging,negative
245,challenging,negative
246,good,positive
248,top,positive
250,excited,positive
251,fine,positive
252,trump,positive
255,appropriate,positive
255,issue,negative
257,bad,negative
261,better,positive
262,super,positive
262,useful,positive
262,impossible,negative
263,selfishness,negative
265,improving,positive
266,super,positive
266,useful,positive
266,impossible,negative
268,love,positive
269,important,positive
270,work,positive
270,doubt,negative
271,good,positive
271,right,positive
272,best,positive
273,good,positive
273,right,positive
274,sue,negative
275,great,positive
275,genuine,positive
278,good,positive
279,favorite,positive
279,favorite,positive
280,top,positive
