created_at,text,location,retweeted,retweet_count
Sat Mar 21 20 41 45  0000 2020,So proud of our Sullivan Scholarship winner  Audrey Popham  She received a full rise to Valdosta State University  ,Caney Bay  Georgia,False,0
Sat Mar 21 20 41 12  0000 2020,Blessed and excited to say that I have committed to play baseball  amp  further my education at The University of Louis  ,,False,0
Sat Mar 21 20 40 00  0000 2020,For five days and nights  hundreds of Education students who graduated in December 2019 have been camping at the un  ,Kenya,False,1
Sat Mar 21 20 39 25  0000 2020, seatradelaw  hhesterm  trueseadog    ThickGammon,Trapped inside a crappy mind,False,0
Sat Mar 21 20 38 39  0000 2020,RT  mbrownz  A few insights and highlights from last week   The New Digital University  Reflections on a Week that Changed Irish Higher E,DCU  Ireland ,False,6
Sat Mar 21 20 38 27  0000 2020,RT  GuyChamberland  University of Queensland  Available PhD projects  Humanities  Athens at War  Education  Psychology  Music  Business,burlington  ontario  canada,False,0
Sat Mar 21 20 35 06  0000 2020,Register for the Youth Advocacy Summit 2020  week long youth leadership event hosted by  MiFamiliaVota Education Fu  ,Houston  Texas,False,0
Sat Mar 21 20 34 45  0000 2020,RT  AHMED48  We  university students  demand the cancellation of the second term  Our health is more important than education  We come fro,Egypt,False,481
Sat Mar 21 20 33 45  0000 2020,Thankful Dr  Belinda Gimbert  Associate Professor at The Ohio State University  facilitated a Zoom videoconference  ,Belton  TX,False,0
Sat Mar 21 20 33 37  0000 2020,RT  Dolseca1  We  university students  demand the cancellation of the second term  Our health is more important than education  We come fro,Egypt,False,16
Sat Mar 21 20 33 13  0000 2020,RT  DougFiebig  Scholastic Education Canada is committed to supporting parents and teachers  Theyve made their digital subscriptions  Book,Pembroke  Ontario  Canada,False,6
Sat Mar 21 20 33 04  0000 2020,RT  Mariem96027790  We  university students  demand the cancellation of the second term  Our health is more important than education  We co,Egypt,False,26
Sat Mar 21 20 32 46  0000 2020,RT  HigherEdPoints  HigherEdPoints allows members to redeem for tuition and student loan repayments   Aeroplan and  cibc Aventura points ar,Canada,False,1
Sat Mar 21 20 31 40  0000 2020,RT  ReemElAbdawy  We  university students  demand the cancellation of the second term  Our health is more important than education  We come,,False,4
Sat Mar 21 20 31 19  0000 2020,RT  allisonl  Are you a university teacher  Have you just moved your teaching online  Here is a course led by  CliveYoungUCL  UCLDigiEd off,Didcot  England,False,20
Sat Mar 21 20 30 17  0000 2020,RT  Julisco  22years Old Nigerian Man Emeka Nelson Who Has No University Education Invents Generator That Is Fuelled By Water  Emeka who,,False,5883
Sat Mar 21 20 29 41  0000 2020,RT  arakeys  The sorts of things Im thinking as a momno way my kid is starting university in the US in the Fall as planned  and is a US c,The archives ,False,1
Sat Mar 21 20 29 19  0000 2020,Entertainment options I enjoy consist of Rainey Street to sightsee  Sixth Street to take in the city life  and the  ,Austin  TX,False,0
Sat Mar 21 20 27 42  0000 2020,The sorts of things Im thinking as a momno way my kid is starting university in the US in the Fall as planned  an  ,,False,1
Sat Mar 21 20 27 40  0000 2020,RT  mangrovexpo  The mangroves offer so much  We can not afford to loose this gift of nature  Our drive to  SaveNigerianMangroves was the f,Port Harcourt  Nigeria,False,1
Sat Mar 21 20 27 13  0000 2020, OmarKhafagy  mlodgeg  daviddlevine  charliejane There are more pressing health issues in Canada right now like obe  ,Ottawa,False,0
Sat Mar 21 20 26 46  0000 2020,RT  HAHayatu  Someone sought my advice on investment  kindly help  He has 15M he want to share it among his three children for university,Plateau  Nigeria,False,79
Sat Mar 21 20 26 14  0000 2020,The mangroves offer so much  We can not afford to loose this gift of nature  Our drive to  SaveNigerianMangroves wa  ,Nigeria,False,1
Sat Mar 21 20 24 26  0000 2020,I  lt 3 Brown University  Where students will drink with tutors so as to ahieve safe space education,,False,0
Sat Mar 21 20 22 33  0000 2020,RT  allisonl  Are you a university teacher  Have you just moved your teaching online  Here is a course led by  CliveYoungUCL  UCLDigiEd off,,False,20
Sat Mar 21 20 21 31  0000 2020,RT  ShashiTharoor  A small victory for common sense  amp  students  human rights  ,haldwani india,False,99
Sat Mar 21 20 21 21  0000 2020,RT  AlyIccap   SenFeinstein please help students like me who attend  aiccucal colleges  who serve nearly 380 000 students in the  COVID19 r,,False,2
Sat Mar 21 20 20 43  0000 2020,RT  FlyingHighRyan  While not receiving a refund for housing and meals from the university is one thing  Mr  Crows tonality in this articl,California  USA,False,0
Sat Mar 21 20 18 12  0000 2020,RT  HAHayatu  Someone sought my advice on investment  kindly help  He has 15M he want to share it among his three children for university,Uttraddit thailand,False,79
Sat Mar 21 20 17 14  0000 2020, marklevinshow They cant help themselves Mark  They are a product of our public education  amp  University systems ,Young Harris GA,False,0
Sat Mar 21 20 15 24  0000 2020, kaylyndion   ,en mi camita,False,0
Sat Mar 21 20 15 15  0000 2020,Study at Hongik University which has provided students with excellent education since 1946     ,,False,0
Sat Mar 21 20 15 14  0000 2020,RT  AlyIccap   SenFeinstein please help students like me who attend  aiccucal colleges  who serve nearly 380 000 students in the  COVID19 r,Sacramento  CA,False,2
Sat Mar 21 20 14 14  0000 2020,If you re looking for work in Edmond  OK  check out this Education job via the link in our bio  STLR Project   Unde  ,Oklahoma City  OK,False,0
Sat Mar 21 20 13 57  0000 2020,RT  CFabio7  I am very excited to announce that I have verbally committed to further my education and softball career at Furman University ,Corpus Christi  TX,False,13
Sat Mar 21 20 13 22  0000 2020,Sports Career Development and Industry  Business  Academic   Job https t co kuQS70XJWO  ekospor    Job  ,,False,0
Sat Mar 21 20 12 34  0000 2020,Sports Career Development and Industry  Business  Academic   Job https t co b3J6gfQ4wU  ekospor    Job  ,Harput   New York,False,0
Sat Mar 21 20 10 22  0000 2020,RT  nigeriantribune  Establishment of Fortune university will enhance access to tertiary education in Nigeria  NIIRE  ,Nigeria,False,2
Sat Mar 21 20 06 50  0000 2020,RT  scholasticCDA  Scholastic Education Canada is committed to supporting parents and teachers during  Covid19  We ve made our digital subs,Orangeville  Ontario,False,164
Sat Mar 21 20 06 07  0000 2020,RT  IndependentNGR  Covid 19  Ministry Of Education Has No Right To Close University  Says Afe Babalola    ,,False,9
Sat Mar 21 20 05 29  0000 2020,Want to learn how Canadas Free Trade Agreements can open up new markets for your business  Join Max Vitali in  Usi  ,Langley  BC,False,0
Sat Mar 21 20 04 45  0000 2020,RT  HAHayatu  Someone sought my advice on investment  kindly help  He has 15M he want to share it among his three children for university,,False,79
Sat Mar 21 20 04 34  0000 2020, JeffreeStarApproved  JeffreeStar Im a MA student  we had 1 5 months of strikes and now the pandemic has made all  ,,False,0
Sat Mar 21 20 03 24  0000 2020, SenFeinstein please help students like me who attend  aiccucal colleges  who serve nearly 380 000 students in the  ,Belmont  CA,False,2
Sat Mar 21 20 02 10  0000 2020,RT  CFabio7  I am very excited to announce that I have verbally committed to further my education and softball career at Furman University ,Plum  PA,False,13
Sat Mar 21 20 01 54  0000 2020,RT  Neoludica Art   Culture  Education  School  University  Art  GameArt Videogames  amp   CulturalHeritage   ,,False,5
Sat Mar 21 20 01 35  0000 2020,RT  CFabio7  I am very excited to announce that I have verbally committed to further my education and softball career at Furman University ,,False,13
Sat Mar 21 20 00 21  0000 2020,RT  AHMED48  We  university students  demand the cancellation of the second term  Our health is more important than education  We come fro,,False,481
Sat Mar 21 19 58 48  0000 2020,RT  Vadakin City  As an alum  instructional faculty  ohiou were crucial to my education  OU Pres  Nellis must commit to not laying off inst,Queens  NY,False,3
