Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,totalSeasons,Response
BigBrotherCanada,2013,NA,27Feb2013,60min,RealityTV,NA,NA,ArisaCox,TheformatforBigBrotherinCanadaremainslargelyunchangedfromtheUSeditionmakingthemtheonlytwoversionoftheseriesthusfartofollowthisformatHouseGuestsare,English,Canada,1win15nominations,httpsmmediaamazoncomimagesMMV5BZjY5MTUzYTUtNjA2MS00ZDUzLTgyMzUtNmQ2MTE2ZWJlMTNlXkEyXkFqcGdeQXVyMzQ2MDI5NjUV1SX300jpg,SourceInternetMovieDatabaseValue5510,NA,55,811,tt2776888,series,6,True
MyInternshipinCanada,2015,NA,26May2016,108min,Comedy,PhilippeFalardeau,PhilippeFalardeau,IrdensExantusCarolineTrudelPatrickHuardClmenceDufresneDeslires,AnidealisticyoungHaitiantravelstoruralQuebectointernforanindependentMemberofParliamentwhenanationaldebateeruptsthatfindstheMPholdingthetiebreakingvote,FrenchEnglishAlgonquinLatinSpanish,Canada,3wins12nominations,httpsmmediaamazoncomimagesMMV5BNzcwZTIyMWMtYmJjNy00ZmViLThlNGMtMTVjOTQyOWU4ZDA1XkEyXkFqcGdeQXVyMjQ3NzUxOTMV1SX300jpg,SourceInternetMovieDatabaseValue6910,NA,69,741,tt4116116,movie,NA,NA,NA,NA,True
StorageWarsCanada,2013,NA,29Aug2013,30min,RealityTV,NA,NA,UrsulaStolfPaulKennyBogartKennyRoyDirnbeck,Canadiansgotostoragesandbutthemfortherightprice,English,Canada,NA,httpsmmediaamazoncomimagesMMV5BNThlMTc2MWItZjM5OS00ZWM3LTg1NzItYTk4NDcxYjM3MTBhXkEyXkFqcGdeQXVyMjU1NTIzNTAV1SX300jpg,SourceInternetMovieDatabaseValue3110,NA,31,426,tt3155428,series,2,True
TheAmazingRaceCanada,2013,NA,15Jul2013,NA,RealityTV,NA,EliseDoganieriBertramvanMunster,JonMontgomery,TheAmazingRaceCanadaisarealitytelevisioncompetitionbetweententeamsoftwoinaracearoundtheworldfor250000toamazinglocations,English,Canada,25wins8nominations,httpsmmediaamazoncomimagesMMV5BMDYzZmE5OTEtNzkxNi00NjA2LTlmYjctYmE4MTdkNmY1ZmVkXkEyXkFqcGdeQXVyMzQ2MDI5NjUV1SX300jpg,SourceInternetMovieDatabaseValue7210,NA,72,382,tt3069720,series,7,True
MasterChefCanada,2014,NA,01Jan2014,60min,RealityTV,NA,NA,ClaudioAprileMichaelBonaciniAlvinLeungCharlieRyan,AmateurchefscompeteinthisCanadianversionoftherealitycookingseries,English,Canada,12nominations,httpsmmediaamazoncomimagesMMV5BODA1MjEyMzY2MV5BMl5BanBnXkFtZTgwOTQ5NTA5NTEV1SX300jpg,SourceInternetMovieDatabaseValue6310,NA,63,375,tt3219166,series,4,True
CanadaRussia72,2006,NA,NA,2min,DramaHistorySport,NA,NA,MarkAOwenSoniaLaplanteDavidBerniGabrielHogan,CANADARUSSIA72isshotinafluiddocumentarystylethateffectivelycapturesalltheimmediacyofthe72hockeysummitsintrigues,EnglishRussianFrench,Canada,3wins3nominations,httpsmmediaamazoncomimagesMMV5BMTI0OTUzNDkxM15BMl5BanBnXkFtZTcwMzMwNzkzMQV1SX300jpg,SourceInternetMovieDatabaseValue7610,NA,76,310,tt0484098,series,NA,True
CabtoCanada,1998,TVG,29Nov1998,120min,Drama,ChristopherLeitch,BethPolsonstoryDaleneYoungteleplay,MaureenOHaraJasonBegheCatherineBellHaleyJoelOsment,FactbasedstoryaboutaPasadenacabdriverwhopicksupwhathebelievesisaroutinefareanelderlywomanonherwaytoafuneralHoweverthewealthywomanissoonisinsistingthat,English,USA,1win,httpsmmediaamazoncomimagesMMV5BYWZmZDVlY2QtMzU4OC00YTNjLWI5MzMtYTY4MDFjMjFjODA1XkEyXkFqcGdeQXVyMzU0NzkwMDgV1SX300jpg,SourceInternetMovieDatabaseValue7310,NA,73,303,tt0161356,movie,24Jul2007,NA,BonnevilleWorldwideEntertainment,NA,True
CanadaVignettesLogDriversWaltz,1979,NA,11Jun2011,3min,AnimationShortComedy,JohnWeldon,NA,AnnaMcGarrigleKateMcGarrigle,AshortillustratingatraditionalCanadianfolksongaboutawomansadmirationfortheagilityforherboyfriendthelogdriver,English,Canada,NA,httpsmmediaamazoncomimagesMMV5BMTM1NDc4OTc3M15BMl5BanBnXkFtZTYwMDkwODY5V1SX300jpg,SourceInternetMovieDatabaseValue7510,NA,75,290,tt0133932,movie,NA,NA,NA,NA,True
CanadaAPeoplesHistory,2000,NA,22Oct2000,120min,DocumentaryHistory,NA,NA,MaggieHuculak,AdramatizedcomprehensivesurveyofthehistoryofCanada,EnglishFrench,Canada,3wins5nominations,httpsmmediaamazoncomimagesMMV5BMTgzNTUzMjIwMl5BMl5BanBnXkFtZTcwMzQ1NzQyMQV1SX300jpg,SourceInternetMovieDatabaseValue8710,NA,87,286,tt0264228,series,2,True
SoYouThinkYouCanDanceCanada,2008,NA,11Sep2008,60min,MusicRealityTV,NA,NA,JeanMarcGnreuxTreArmstrongLeahMillerLutherBrown,NA,English,Canada,3nominations,httpsmmediaamazoncomimagesMMV5BZWJmZmJjZjEtODk0My00NmZjLTk2NjktNTk4ZWQ5ZDQxZTdmXkEyXkFqcGdeQXVyMjMwODU0MjIV1SX300jpg,SourceInternetMovieDatabaseValue6010,NA,60,268,tt1267314,series,3,True
CanadaptversmedLarsMonsen,2005,NA,10Aug2005,180min,Documentary,FridtjofKjreng,NA,LarsMonsen,LarsMonsentravelsacrossCanadaencounteringwildlifearoundeverycorner,Norwegian,Norway,NA,httpsmmediaamazoncomimagesMMV5BODE4MDhiOGEtZDgwOC00NzE4LThkMTktOGYyNDZlMjlmYjU4XkEyXkFqcGdeQXVyNTg5Njk5NjkV1SX300jpg,SourceInternetMovieDatabaseValue8910,NA,89,244,tt0802961,movie,NA,NA,NA,NA,True
HockeyNightinCanada,1952,NA,01Nov1952,NA,Sport,NA,NA,PatQuinnEdBelfourJaromeIginlaMarkusNslund,ThepremiereCanadianprimetimeNHLicehockeytelecastprogram,EnglishFrenchCree,Canada,14wins14nominations,httpsmmediaamazoncomimagesMMV5BMDU5OTMwZjUtNjE4Mi00MTQyLTk4ZmUtYzYyN2QwMDZkYmRmXkEyXkFqcGdeQXVyMjUyNDk2ODcV1SX300jpg,SourceInternetMovieDatabaseValue9310,NA,93,215,tt0188335,series,51,True
FiveDaystoFameTheMissWorldCanadaStory,2004,NA,19Dec2004,47min,Documentary,MarkMowad,MarkMowad,ConnieMcNaughtonJimmySteeleBobbyAckbaraliTijanaArnautovic,ThisonehourbehindthescenesdocumentaryfollowstwentysevennationalfinalisthopefulsastheycometogetheratMuskokasTabooResortandvariousTorontolocationstocompeteforthetitleofMissWorldCanada,English,Canada,NA,NA,SourceInternetMovieDatabaseValue8810,NA,88,170,tt0443317,movie,NA,NA,NA,NA,True
ProjectRunwayCanada,2007,NA,08Oct2007,60min,RealityTV,NA,NA,ImanBrianBaileyShawnHewsonRitaSilvan,NA,English,Canada,1win2nominations,httpsmmediaamazoncomimagesMMV5BNjY3MTMxMzItNDM2Ni00ZDhhLThmZGMtOGRmZGIzODk2YTBiXkEyXkFqcGdeQXVyNDYzMzYwODYV1SX300jpg,SourceInternetMovieDatabaseValue7010,NA,70,170,tt1158101,series,2,True
AnAmericaninCanada,20022004,NA,18Jan2002,22min,Comedy,NA,HowardBusgang,HeleneJoyRickRobertsStewartFrancisTimmZemanek,NA,English,Canada,1win5nominations,NA,SourceInternetMovieDatabaseValue3110,NA,31,168,tt0306275,series,2,True
EscapetoCanada,2005,NA,NA,80min,Documentary,AlbertNerenberg,NA,PierreBertonBonoGeorgeWBushTuckerCarlson,AlookintoCanadasincrediblestrideswithprogressivepoliticswhileatthesametimetheUShasbecomeincreasinglypolarizedonsuchissuesastheDrugWarandGaymarriageCanada,English,Canada,NA,httpsmmediaamazoncomimagesMMV5BMTQyNTcxODE4NF5BMl5BanBnXkFtZTcwMDQ5OTQzMQV1SX300jpg,SourceInternetMovieDatabaseValue7110,NA,71,162,tt0434922,movie,19Jun2007,NA,NA,NA,True
SouvenirofCanada,2005,NA,10Sep2005,70min,Documentary,RobinNeinstein,DouglasCouplandbookBarryStevens,SeanBallantyneRobBirdDouglasCouplandJaymeKalino,WhileDouglasCouplandworksonagrandartprojectaboutCanadathewriterrecountshislifeandhismusingsaboutthevariousaspectsofCanadianidentity,English,Canada,NA,httpsmmediaamazoncomimagesMMV5BNWM5ODg3OTMtMmM0MC00MGE0LWFkNzMtOTE5NWJlZDIwNGFiXkEyXkFqcGdeQXVyMTkwMDQ5MDQV1SX300jpg,SourceInternetMovieDatabaseValue7310,NA,73,158,tt0439820,movie,05May2009,NA,NA,NA,True
ChoppedCanada,2014,NA,02Jan2014,60min,RealityTV,NA,NA,DeanMcDermottBradSmith,ChoppedCanadaisahighstakesculinarycompetitionshowwherefourchefscompetebeforeapanelofexpertjudgesArmedwithskillandingenuitychefsraceagainsttheclocktoturn,English,Canada,5nominations,httpsmmediaamazoncomimagesMMV5BNjlhNzZiMzktNDFkNC00ZmI0LWEyOTUtMDBjOTg2MDJlYjJmXkEyXkFqcGdeQXVyMjA0NjI5MjMV1SX300jpg,SourceInternetMovieDatabaseValue5710,NA,57,158,tt3470148,series,4,True
WipeoutCanada,2011,NA,01Apr2011,60min,GameShow,NA,SheldonTeicherMichaelGeddes,EnnisEsmerJonathanTorrensJessicaPhillips,DaringCanadiancontestantsareinpursuitofcashprizesonanextremeobstaclecoursedesignedtoprovidethemostspectacularspillsfaceplantsandsplashdowns,English,Canada,NA,NA,SourceInternetMovieDatabaseValue2410,NA,24,157,tt1753229,series,1,True
WildCanada,2014,NA,13Mar2014,180min,Documentary,NA,NA,DavidSuzukiJennyDuffy,NA,English,USAUKAustriaCanada,1win3nominations,httpsmmediaamazoncomimagesMMV5BMWJkNWQzMTgtZDZhNi00OTZmLTgwZDMtYmNkMjQxMDYwN2UwXkEyXkFqcGdeQXVyNTM2NTg3NzgV1SX300jpg,SourceInternetMovieDatabaseValue8410,NA,84,137,tt3690362,series,1,True
TopChefCanada,2011,NA,11Apr2011,NA,RealityTV,NA,NA,MarkMcEwanShereenArazmLisaRayDustinGallagher,Canadianchefscompeteinheadtoheadcompetitions,English,Canada,2wins18nominations,httpsmmediaamazoncomimagesMMV5BNGQ5NjJlYTgtZTI4YS00OWZiLWExNWQtM2U1NDMzZDc1NTU3XkEyXkFqcGdeQXVyMTEzNzczMAV1SX300jpg,SourceInternetMovieDatabaseValue6910,NA,69,136,tt1784288,series,6,True
TheRomanceofTransportationinCanada,1952,NA,NA,12min,AnimationShortHistory,ColinLow,GuyGlover,GuyGlover,AhumouroussurveyofthehistoryofthedevelopmentoftransportationtechnologyinCanada,English,Canada,Nominatedfor1OscarAnother1win,httpsmmediaamazoncomimagesMMV5BNTM2MmM1YjAtZDAwMS00NmNhLWI5YmQtN2Q3NDc4MTQ4MTU1XkEyXkFqcGdeQXVyNzM0MDQ1MwV1SX300jpg,SourceInternetMovieDatabaseValue6510,NA,65,99,tt0045100,movie,NA,NA,NA,NA,True
OCanada,1982,NA,28Sep1982,18min,FamilyDocumentaryShort,WilliamBoscheRandyBright,NA,NA,ThisDisneyCircleVision360degreefilmshownatWaltDisneyWorldsEPCOTCentershowcasesthebreathtakingsceneryandothervisualdelightsofCanadaHighlightsalongthe,English,CanadaUSA,NA,NA,SourceInternetMovieDatabaseValue7210,NA,72,99,tt0084429,movie,NA,NA,NA,NA,True
UFC58USAvsCanada,2006,NA,04Mar2006,180min,Sport,AnthonyGiordano,NA,BruceBufferJoeDoerksenYvesEdwardsSpencerFisher,NA,English,USA,NA,httpsmmediaamazoncomimagesMMV5BMTkxNTk4ODIwMV5BMl5BanBnXkFtZTcwMzQ4Nzk0MQV1SX300jpg,SourceInternetMovieDatabaseValue7610,NA,76,94,tt0783602,movie,NA,NA,NA,NA,True
CreepyCanada,2002,NA,23Oct2002,60min,Documentary,NA,WilliamBurke,TerryBoyleBrianODeaStewartYorkeDavidPritchard,CanadiantelevisionseriesfocusedonexploringparanormalactivitiesandhauntedplacesaroundCanada,English,Canada,NA,httpsmmediaamazoncomimagesMMV5BNGIyOWFmNGUtNDZiOS00ZjQzLWEyNWMtYWM2ZWYyNTYwYTk0XkEyXkFqcGdeQXVyMjAxMTE3ODAV1SX300jpg,SourceInternetMovieDatabaseValue7710,NA,77,82,tt0389600,series,3,True
LesnatduCanada,2002,NA,NA,22min,DocumentaryShort,ChristineMercier,ChristineMercier,ShelleyArronCohenPatrickFry,NA,French,Canada,NA,NA,SourceInternetMovieDatabaseValue8510,NA,85,77,tt0424476,movie,NA,NA,NA,NA,True
EntertainmentTonightCanada,2005,NA,12Sep2005,30min,News,NA,NA,ErinCebula,ACanadianversionofthelongrunningoriginalAmericanshowproducedbyGlobalTelevision,English,Canada,3nominations,NA,SourceInternetMovieDatabaseValue4110,NA,41,77,tt0482346,series,13,True
HelicopterCanada,1966,NA,NA,50min,Documentary,EugeneBoyko,DonaldBrittaindialogueDerekMaydialogue,StanleyJackson,AviewfromahelicopterofthetenCanadianprovincesin1966TheresultisabigbeautifulandengrossingbirdseyeportraitofthecountryNothinghereisquitethesameasseen,EnglishFrenchPolishGermanRussian,Canada,NA,httpsmmediaamazoncomimagesMMV5BZWYxYTAwNzgtMWQzMi00MTg4LThhMGUtZGNlMTczNTMzMDZhXkEyXkFqcGdeQXVyMzI5NjUyMDMV1SX300jpg,SourceInternetMovieDatabaseValue7310,NA,73,75,tt0060498,movie,NA,NA,NA,NA,True
CanadaTheStoryofUs,2017,NA,15Jan2017,NA,DramaHistory,NA,NA,SylviePamphile,NA,English,Canada,NA,httpsmmediaamazoncomimagesMMV5BZTAzNDI5OWQtOWU1MC00MTZkLTk2YzUtZTY3NDk2MGExNjJkXkEyXkFqcGdeQXVyNTE0NTM0NgV1SX300jpg,SourceInternetMovieDatabaseValue5510,NA,55,73,tt6076476,series,1,True
UndercoverBossCanada,2012,NA,02Feb2012,60min,RealityTV,NA,NA,ErichBoehm,CEOsfromthelargestCanadiancorporationsgoundercovertolearnabouttheireverydayemployeesandwhatstrugglestheyface,English,Canada,2wins1nomination,httpsmmediaamazoncomimagesMMV5BNjE0OTU5NDktNTI0NS00MDE4LWI4MzQtZTdjNTU2MTA2YzA0XkEyXkFqcGdeQXVyMzc2MDA5NzYV1SX300jpg,SourceInternetMovieDatabaseValue6010,NA,60,64,tt2177313,series,5,True
ComeDinewithMeCanada,2010,NA,01Nov2010,22min,RealityTV,NA,NA,JamieCarr,ComeDinewithMeCanada2010isbasedontheBritishtelevisionshowofthesamenameComeDinewithMe2005Fivestrangerseachanamateurchefcompetetohostthebestdinner,English,Canada,NA,httpsiamediaimdbcomimagesMMV5BNWUxNzNkMjktZTZiMi00ODQyLTlmMTItMjEzNTcwZmFiNTVlL2ltYWdlXkEyXkFqcGdeQXVyMTE0OTg5NTUV1SX300jpg,SourceInternetMovieDatabaseValue7410,NA,74,61,tt1763422,series,4,True
TheBachelorCanada,2012,NA,03Oct2012,NA,RealityTV,NA,NA,TylerHarcottNoahCappeChrisLerouxBradSmith,TheBachelorCanadaisaCanadianrealitytelevisionseriesbasedontheAmericantelevisionseriesTheBachelorTheseriesrevolvesaroundasinglebachelorwhostartswithapoolof,English,Canada,NA,httpsmmediaamazoncomimagesMMV5BODQxNGQ5MzctM2UxOC00ZjdlLWJkNDItODdmNDAzOTlhMjY5XkEyXkFqcGdeQXVyMTE0OTg5NTUV1SX300jpg,SourceInternetMovieDatabaseValue5810,NA,58,52,tt2438750,series,3,True
NightmareinCanadaCanadianHorroronFilm,2004,NA,26Oct2004,60min,Documentary,JenAdcock,NA,RichardCrouseGeoffPevereRodrigoGudioJerryCiccoritti,NightmareinCanadaisaonehourtelevisiondocumentarythattellsthestoryofCanadascontributiontothehorrorfilmindustry,English,Canada,NA,httpsmmediaamazoncomimagesMMV5BY2JiMmZiZmItYzVkOC00OGE0LTkyZGMtZjNlNDNkNTQ0NjZjXkEyXkFqcGdeQXVyNjE2MTE4NTAV1SX300jpg,SourceInternetMovieDatabaseValue7510,NA,75,51,tt0431944,movie,NA,NA,NA,NA,True
OverCanadaAnAerialAdventure,1999,NA,09Oct1999,58min,Documentary,GaryMcCartie,NA,NA,FromabirdseyeviewOVERCANADAisabeautifullyproducedawardwinninghighdefinitionaerialadventuretelevisiondocumentarythatunveilsthedramaticsplendouroftheaweinspiringlyvastCanadianlandscape,English,Canada,NA,httpsmmediaamazoncomimagesMMV5BMTY4NjcyMjE1N15BMl5BanBnXkFtZTcwNjQzMzkxMQV1SX300jpg,SourceInternetMovieDatabaseValue9110,NA,91,46,tt0472480,movie,NA,NA,NA,NA,True
CanadaVignettesMenoftheDeepsCapeBreton,1978,NA,NA,NA,ShortHistoryMusical,NA,NA,NA,AchorusgroupofminerssingaboutthehistoryofcoalminingonCapeBretonIsland,NA,Canada,NA,NA,SourceInternetMovieDatabaseValue5810,NA,58,45,tt0235256,movie,NA,NA,NA,NA,True
CanadaVignettesFortPrinceofWales,1978,NA,NA,1min,DocumentaryAnimationShortComedyHistory,BradCaslor,NA,LenCariouCliffGardnerBrianRichardson,AhumourousshortlivedhistoryofanEnglishfort,English,Canada,NA,NA,SourceInternetMovieDatabaseValue6610,NA,66,43,tt0228110,movie,NA,NA,NA,NA,True
HasAnybodyHereSeenCanadaAHistoryofCanadianMovies19391953,1979,NA,04Mar1979,85min,DocumentaryHistory,JohnKramer,DonaldBrittainJohnKramer,MichaelKaneEvelynCherryLeoChoquetteFRCrawley,NA,English,Canada,NA,NA,SourceInternetMovieDatabaseValue6110,NA,61,41,tt0178556,movie,NA,NA,NA,NA,True
ComedyNightinCanada,2003,NA,01Mar2003,60min,Comedy,MarkLawrence,WillDavisJaymeHutchinsonMikeMacDonaldRichardSide,IrwinBarkerBrentButtWillDavisDerekEdwards,NA,English,Canada,NA,NA,SourceInternetMovieDatabaseValue5910,NA,59,40,tt0423997,movie,NA,NA,NA,NA,True
DesignCanada,2018,NA,13Jun2018,74min,Documentary,GregDurrell,NA,BurtonKramerFritzGottschalkDouglasCouplandGeorgeStroumboulopoulos,DesignCanadaisthefirstdocumentarychroniclingthehistoryofCanadiangraphicdesignandhowitshapedanationanditspeople,FrenchEnglish,Canada,NA,httpsmmediaamazoncomimagesMMV5BNzMxNTExNTkyOV5BMl5BanBnXkFtZTgwMzAyOTY3NTMV1SX300jpg,SourceInternetMovieDatabaseValue8410,NA,84,40,tt7125748,movie,NA,NA,NA,NA,True
CanadaAM,1972,NA,11Sep1972,150min,News,NA,NA,MarciIenBeverlyThomsonJeffHutchesonSeamusORegan,NA,English,Canada,1nomination,NA,SourceInternetMovieDatabaseValue6110,NA,61,39,tt0341708,series,44,True
OCanada,1997,NA,08Jan1997,25min,AnimationMusicalComedy,NA,NA,JayBrazeauDonaldBrittainJackieBurroughsRichardCondie,Createdin1939theNationalFilmBoardofCanadahasproducedanddistributedliterallythousandsoffilmsbyandaboutCanadiansincludinghundredsofanimatedshortsButdespitethe,English,USACanada,1nomination,NA,SourceInternetMovieDatabaseValue7910,NA,79,37,tt0290116,series,NA,True
VictoriaandVancouverGatewaystoCanada,1936,APPROVED,01Feb1936,9min,DocumentaryShort,BenjaminDSharpe,NA,JamesAFitzPatrick,AvisittothecapitalofBritishColumbiaandtoitslargestcity,English,USA,NA,NA,SourceInternetMovieDatabaseValue6610,NA,66,33,tt1210118,movie,NA,NA,NA,NA,True
TheBacheloretteCanada,2016,NA,13Sep2016,NA,RealityTV,NA,NA,NoahCappeJasmineLorimerMikhelSickandKevinWendt,BacheloretteCanadaisagreatandwonderfulseriesThankyouforgeneratingthefullepisode,English,Canada,NA,httpsmmediaamazoncomimagesMMV5BNTRhYTgxZTMtYTczZC00YjkxLWEwYjQtODg0ZmM0MTE2NzE3XkEyXkFqcGdeQXVyNzI1MjQ0NjAV1SX300jpg,SourceInternetMovieDatabaseValue7110,NA,71,32,tt5809666,series,1,True
LivefromCanadaItsEdtheSock,20162017,NA,01Nov2016,NA,ComedyTalkShow,NA,NA,MaxBrandJamesGreenspanLianaKerznerStevenJoelKerzner,EdtheSockselftapesatalkshowinthelobbyofthePlanetHollywoodrestaurantindowntownTorontotalkingaboutcurrenteventsandtalkingtopeoplegoingintoandleavingtherestaurantwhohavenoideawhoheisorwhatisgoingon,English,Canada,NA,httpsmmediaamazoncomimagesMMV5BMGIyYjVhMTEtMWI3Mi00ZThjLTg5MjktNmQxNWVlYjdkMTVjXkEyXkFqcGdeQXVyNDc4MTIyNjMV1SX300jpg,SourceInternetMovieDatabaseValue1710,NA,17,32,tt8706100,series,NA,True
